site_id,gap_no_seeding,gap_during_seeding,within_site_did,n_seeded,n_unseeded
site_000,-0.7175811800634058,,,0,276
site_001,-0.6981838748847908,-0.9916012298923077,-0.29341735500751687,13,263
site_002,-0.07751825298610039,-0.22271100999999996,-0.14519275701389955,17,259
site_003,0.1035246754,0.19390856983606558,0.09038389443606558,61,215
site_004,-0.5635904206833333,,,0,276
site_005,0.10249688063348018,0.172128481122449,0.06963160048896881,49,227
site_006,0.1386460718952381,0.14544804928866667,0.006801977393428582,150,126
site_007,-0.7348579350058577,-0.7726952783108108,-0.03783734330495303,37,239
site_008,0.2909846944380435,,,0,276
site_009,-1.0510550542177777,-1.107722526321875,-0.056667472104097394,96,180
site_010,-0.49070517663676466,-0.8871737082921428,-0.39646853165537815,140,136
site_011,0.003054581190774904,-0.08659368000000019,-0.0896482611907751,5,271
site_012,0.0,0.0,0.0,138,138
site_013,0.16315434639913792,0.3612366753636364,0.19808232896449848,44,232
site_014,-0.08008320909466668,-0.2192012774047619,-0.1391180683100952,126,150
site_015,0.995121003262,1.3223794536538462,0.3272584503918462,26,250
site_016,0.08499157332467533,0.03972210066393444,-0.04526947266074089,122,154
site_017,1.3431008334813432,2.971172453125,1.6280716196436567,8,268
site_018,0.5180595461162791,0.8146195129680271,0.296559966851748,147,129
site_019,-0.2600455596358696,,,0,276
site_020,-0.13768138809626868,-0.5884169247499998,-0.4507355366537312,8,268
site_021,0.5537819199945946,0.5394965423945313,-0.01428537760006332,128,148
site_022,1.4748446472422052,1.8031780561538464,0.3283334089116412,13,263
site_023,0.8130179536811112,1.305580145,0.4925621913188888,6,270
site_024,0.48194587954609663,0.7953644057142857,0.31341852616818905,7,269
site_025,1.6684551016209486,2.594781941826087,0.9263268402051386,23,253
site_026,0.7763175995688,1.1442257684615385,0.3679081688927385,26,250
site_027,1.668674798398513,4.6058384199999995,2.9371636216014867,7,269
site_028,1.9711646080054543,2.945516782892857,0.9743521748874024,56,220
site_029,-0.14492329966789666,0.22068023400000011,0.3656035336678968,5,271
site_030,1.5623754183247234,0.803565986,-0.7588094323247234,5,271
site_031,1.1673466308487086,0.8110046399999999,-0.35634199084870866,5,271
site_032,0.5989517690163935,0.49673870279569887,-0.10221306622069459,93,183
site_033,0.9438514729999999,0.6628508540225564,-0.28100061897744355,266,10
site_034,0.5324528410441767,1.1639418437037037,0.631489002659527,27,249
site_035,-0.5184676215369458,0.3181875535616438,0.8366551750985896,73,203
site_036,-0.6970433702616033,-0.35877716410256416,0.3382662061590392,39,237
site_037,0.4189455954074074,1.33784612,0.9189005245925926,6,270
site_038,0.4314011365055762,0.7279259657142857,0.2965248292087095,7,269
site_039,0.2733297084651163,0.24710326786885245,-0.026226440596263834,61,215
site_040,-0.5125480224444445,0.659225379375,1.1717734018194446,96,180
site_041,0.21482551105072464,,,0,276
site_042,1.112260176966292,1.1799238144897959,0.0676636375235038,98,178
site_043,0.6671470170652174,,,0,276
site_044,-0.1790657823105023,-0.12025219877192982,0.05881358353857248,57,219
site_045,-0.8129013978571428,-0.96976755875,-0.1568661608928572,24,252
site_046,-0.7241631342793522,-1.2633553844827587,-0.5391922502034066,29,247
site_047,-0.9227605459926471,-1.7623901400000002,-0.839629594007353,4,272
site_048,-0.746894694709322,-0.7275342975,0.019360397209322033,40,236
site_049,-1.2569498661955225,-1.3215542075,-0.06460434130447745,8,268
site_050,-1.1955960351808765,-1.8936157187999998,-0.6980196836191233,25,251
site_051,-1.2178376886981481,-1.3561248805166668,-0.13828719181851867,60,216
site_052,0.0,0.0,0.0,75,201
site_053,-1.45398775723875,-1.1444621709444445,0.3095255862943056,36,240
site_054,-0.9718877933660715,-1.6641800267307691,-0.6922922333646977,52,224
site_055,-0.9090953407185185,-0.9635289449999999,-0.05443360428148136,6,270
site_056,-0.6451357683955224,-0.8846521575,-0.2395163891044776,8,268
site_057,0.46633799657798164,0.6475119699999999,0.1811739734220183,58,218
site_058,-0.5932649003281251,-0.8525053729761906,-0.2592404726480655,84,192
site_059,0.0,0.0,0.0,6,270
site_060,-0.09479802520146521,0.4081725333333333,0.5029705585347986,3,273
site_061,0.37480335722892155,0.4209809820138889,0.04617762478496734,72,204
